Year,Regional Site,Game,Winning Team,Runs,Seed,Losing Team,Runs,Seed
2005,"Long Beach, CA",6,Pepperdine,9,3,USC,2,2
2005,"Long Beach, CA",7,USC,5,2,Pepperdine,2,3
2005,"Waco, TX",1,TCU,5,2,Stanford,1,3
2005,"Waco, TX",2,Baylor,8,1,Texas-San Antonio,3,4
2005,"Waco, TX",3,Stanford,6,3,Texas-San Antonio,2,4
2005,"Waco, TX",4,Baylor,8,1,TCU,3,2
2005,"Waco, TX",5,Stanford,12,3,TCU,4,2
2005,"Waco, TX",6,Baylor,4,1,Stanford,3,3
2005,"Clemson, SC",1,College of Charleston,5,2,Oral Roberts,2,3
2005,"Clemson, SC",2,Clemson,12,1,North Carolina A&T,2,4
2005,"Clemson, SC",3,Oral Roberts,6,3,North Carolina A&T,3,4
2005,"Clemson, SC",4,Clemson,6,1,College of Charleston,0,2
2005,"Clemson, SC",5,Oral Roberts,6,3,College of Charleston,0,2
2005,"Clemson, SC",6,Clemson,8,1,Oral Roberts,3,3
2005,"Oxford, MS",1,Oklahoma,5,3,Southern Miss.,4,2
2005,"Oxford, MS",2,Mississippi,5,1,Maine,0,4
2005,"Oxford, MS",3,Maine,12,4,Southern Miss.,2,2
2005,"Oxford, MS",4,Mississippi,7,1,Oklahoma,3,3
2005,"Oxford, MS",5,Oklahoma,11,3,Maine,10,4
2005,"Oxford, MS",6,Mississippi,20,1,Oklahoma,5,3
2005,"Austin, TX",1,Arkansas,9,2,Miami of Ohio,5,3
2005,"Austin, TX",2,Texas,20,1,Quinnipiac,2,4
2005,"Austin, TX",3,Miami of Ohio,35,3,Quinnipiac,8,4
2005,"Austin, TX",4,Arkansas,9,2,Texas,2,1
2005,"Austin, TX",5,Texas,12,1,Miami of Ohio,5,3
2005,"Austin, TX",6,Texas,19,1,Arkansas,8,2
2005,"Austin, TX",7,Texas,5,1,Arkansas,2,2
2005,"Lincoln, NE",1,Nebraska,8,1,Illinois-Chicago,6,4
2005,"Lincoln, NE",2,Creighton,8,3,North Carolina St.,3,2
2005,"Lincoln, NE",3,North Carolina St.,9,2,Illinois-Chicago,7,4
2005,"Lincoln, NE",4,Nebraska,10,1,Creighton,8,3
2005,"Lincoln, NE",5,Creighton,11,3,North Carolina St.,9,2
2005,"Lincoln, NE",6,Nebraska,10,1,Creighton,2,3
2005,Miami,1,Mississippi St.,13,2,Florida Atlantic,2,3
2005,Miami,2,Miami,6,1,Virginia Commonwealth,2,4
2005,Miami,3,Florida Atlantic,3,3,Virginia Commonwealth,1,4
2005,Miami,4,Miami,4,1,Mississippi St.,1,2
2005,Miami,5,Mississippi St.,8,2,Florida Atlantic,4,3
2005,Miami,6,Miami,10,1,Mississippi St.,4,2
2005,"Fullerton, CA",1,Arizona,5,2,Missouri,3,3
2005,"Fullerton, CA",2,Cal St. Fullerton,19,1,Harvard,9,4
2005,"Fullerton, CA",3,Missouri,14,3,Harvard,6,4
2005,"Fullerton, CA",4,Arizona,6,2,Cal St. Fullerton,5,1
2005,"Fullerton, CA",5,Cal St. Fullerton,8,1,Missouri,6,3
2005,"Fullerton, CA",6,Cal St. Fullerton,7,1,Arizona,2,2
2005,"Fullerton, CA",7,Cal St. Fullerton,6,1,Arizona,3,2
2005,"Tempe, AZ",1,Coastal Carolina,12,1,Nevada-Las Vegas,8,4
2005,"Tempe, AZ",2,Arizona St.,9,2,East Carolina,6,3
2005,"Tempe, AZ",3,Nevada-Las Vegas,5,4,East Carolina,3,3
2005,"Tempe, AZ",4,Arizona St.,11,2,Coastal Carolina,3,1
2005,"Tempe, AZ",5,Coastal Carolina,14,1,Nevada-Las Vegas,10,4
2005,"Tempe, AZ",6,Arizona St.,9,2,Coastal Carolina,5,1
2005,"Atlanta, GA",1,South Carolina,6,2,Michigan,5,3
2005,"Atlanta, GA",2,Georgia Tech,5,1,Furman,4,4
2005,"Atlanta, GA",3,Michigan,6,3,Furman,3,4
2005,"Atlanta, GA",4,Georgia Tech,10,1,South Carolina,2,2
2005,"Atlanta, GA",5,South Carolina,4,2,Michigan,3,3
2005,"Atlanta, GA",6,South Carolina,8,2,Georgia Tech,3,1
2005,"Atlanta, GA",7,Georgia Tech,5,1,South Carolina,0,2
2005,"Knoxville, TN",1,Winthrop,2,2,Wichita St.,1,3
2005,"Knoxville, TN",2,Tennessee,7,1,Austin Peay,5,4
2005,"Knoxville, TN",3,Wichita St.,5,3,Austin Peay,1,4
2005,"Knoxville, TN",4,Tennessee,3,1,Winthrop,2,2
2005,"Knoxville, TN",5,Wichita St.,3,3,Winthrop,2,2
2005,"Knoxville, TN",6,Tennessee,12,1,Wichita St.,2,3
2005,"Gainesville, FL",1,North Carolina,5,2,Notre Dame,1,3
2005,"Gainesville, FL",2,Florida,8,1,Stetson,3,4
2005,"Gainesville, FL",3,Notre Dame,7,3,Stetson,4,4
2005,"Gainesville, FL",4,Florida,5,1,North Carolina,2,2
2005,"Gainesville, FL",5,Notre Dame,3,3,North Carolina,0,2
2005,"Gainesville, FL",6,Florida,23,1,Notre Dame,3,3
2005,"Tallahassee, FL",1,Auburn,13,2,South Alabama,5,3
2005,"Tallahassee, FL",2,Florida St.,3,1,Army,2,4
2005,"Tallahassee, FL",3,Army,8,4,South Alabama,5,3
2005,"Tallahassee, FL",4,Florida St.,4,1,Auburn,3,2
2005,"Tallahassee, FL",5,Auburn,12,2,Army,3,4
2005,"Tallahassee, FL",6,Florida St.,10,1,Auburn,4,2
2006,"Clemson, SC",1,Elon,5,2,Mississippi St.,4,3
2006,"Clemson, SC",2,Clemson,3,1,NC Asheville,0,4
2006,"Clemson, SC",3,Mississippi St.,5,3,NC Asheville,4,4
2006,"Clemson, SC",4,Clemson,13,1,Elon,3,2
2006,"Clemson, SC",5,Mississippi St.,12,3,Elon,3,2
2006,"Clemson, SC",6,Clemson,8,1,Mississippi St.,6,3
2006,"Fayetteville, AR",1,Oklahoma St.,4,1,Princeton,1,4
2006,"Fayetteville, AR",2,Oral Roberts,4,3,Arkansas,3,2
2006,"Fayetteville, AR",3,Arkansas,6,2,Princeton,2,4
2006,"Fayetteville, AR",4,Oral Roberts,5,3,Oklahoma St.,4,1
2006,"Fayetteville, AR",5,Oklahoma St.,6,1,Arkansas,5,2
2006,"Fayetteville, AR",6,Oral Roberts,9,3,Oklahoma St.,2,1
2006,Atlanta,1,Vanderbilt,5,2,Michigan,2,3
2006,Atlanta,2,Georgia Tech,7,1,Stetson,5,4
2006,Atlanta,3,Michigan,11,3,Stetson,1,4
2006,Atlanta,4,Georgia Tech,7,1,Vanderbilt,3,2
2006,Atlanta,5,Vanderbilt,5,2,Michigan,4,3
2006,Atlanta,6,Georgia Tech,8,1,Vanderbilt,4,2
2006,"Lexington, KY",1,College of Charleston,5,2,Notre Dame,4,3
2006,"Lexington, KY",2,Ball State,3,4,Kentucky,1,1
2006,"Lexington, KY",3,Kentucky,10,1,Notre Dame,4,3
2006,"Lexington, KY",4,College of Charleston,11,2,Ball State,0,4
2006,"Lexington, KY",5,Kentucky,12,1,Ball State,9,4
2006,"Lexington, KY",6,College of Charleston,7,2,Kentucky,4,1
2006,Tuscaloosa,1,Troy,10,2,Southern Miss.,8,3
2006,Tuscaloosa,2,Alabama,13,1,Jacksonville St.,1,4
2006,Tuscaloosa,3,Southern Miss.,6,3,Jacksonville St.,2,4
2006,Tuscaloosa,4,Alabama,4,1,Troy,3,2
2006,Tuscaloosa,5,Troy,6,2,Southern Miss.,5,3
2006,Tuscaloosa,6,Alabama,14,1,Troy,5,2
2006,Chapel Hill,1,Winthrop,14,2,NC Wilmington,2,3
2006,Chapel Hill,2,North Carolina,15,1,Maine,7,4
2006,Chapel Hill,3,NC Wilmington,21,3,Maine,19,4
2006,Chapel Hill,4,North Carolina,14,1,Winthrop,4,2
2006,Chapel Hill,5,Winthrop,5,2,NC Wilmington,3,3
2006,Chapel Hill,6,North Carolina,14,1,Winthrop,2,2
2006,"Fullerton, CA",1,Fresno St.,9,2,San Diego,8,3
2006,"Fullerton, CA",2,Cal St. Fullerton,6,1,St. Louis,1,4
2006,"Fullerton, CA",3,San Diego,19,3,St. Louis,12,4
2006,"Fullerton, CA",4,Cal St. Fullerton,9,1,Fresno St.,2,2
2006,"Fullerton, CA",5,Fresno St.,9,2,San Diego,8,3
2006,"Fullerton, CA",6,Cal St. Fullerton,10,1,Fresno St.,3,2
2006,"Malibu, CA",1,UCLA,2,2,UC Irvine,2,3
2006,"Malibu, CA",2,Pepperdine,3,1,Missouri,2,4
2006,"Malibu, CA",3,Missouri,5,4,UC Irvine,4,3
2006,"Malibu, CA",4,Pepperdine,6,1,UCLA,0,2
2006,"Malibu, CA",5,Missouri,2,4,UCLA,1,2
2006,"Malibu, CA",6,Missouri,4,4,Pepperdine,1,1
2006,"Malibu, CA",7,Missouri,8,4,Pepperdine,3,1
2006,"Austin, TX",1,Stanford,7,3,North Carolina St.,2,2
2006,"Austin, TX",2,Texas,9,1,Texas-Arlington,1,4
2006,"Austin, TX",3,North Carolina St.,6,2,Texas-Arlington,5,4
2006,"Austin, TX",4,Stanford,12,3,Texas,8,1
2006,"Austin, TX",5,North Carolina St.,6,2,Texas,3,1
2006,"Austin, TX",6,Stanford,17,3,North Carolina St.,7,2
2006,"Corvallis, OR",1,Kansas,9,2,Hawaii,6,3
2006,"Corvallis, OR",2,Oregon St.,5,1,Wright St.,3,4
2006,"Corvallis, OR",3,Hawaii,5,3,Wright St.,3,4
2006,"Corvallis, OR",4,Oregon St.,11,1,Kansas,3,2
2006,"Corvallis, OR",5,Hawaii,9,3,Kansas,5,2
2006,"Corvallis, OR",6,Oregon St.,12,1,Hawaii,3,3
